order_id, amount_paid, address_id  ,customer_id ,date_create ,date_updated , order_status
1,4774,0,2036,1995-10-07 01:11:54.0,null,Placed
2,74901,0,5750,1996-09-17 21:54:00.0,null,Placed
3,19245,0,236,2006-07-03 07:10:11.0,null,Placed
4,14677,0,7478,2013-08-06 06:30:00.0,null,Placed
5,30283,0,468,2011-01-02 13:16:32.0,null,Placed
6,42563,0,2180,1998-12-29 22:41:44.0,null,Placed
7,73229,0,5088,2007-12-14 09:34:50.0,null,Placed
8,5029,0,5963,1997-01-21 16:14:34.0,null,Placed
9,67425,0,8671,2014-01-09 20:45:16.0,null,Placed
10,86421,0,2669,2012-05-06 12:54:03.0,null,Placed
11,80049,0,6242,2012-10-04 00:35:46.0,null,Placed
12,49384,0,5998,2012-03-19 10:56:56.0,null,Placed
13,92695,0,8902,2009-08-04 11:44:04.0,null,Placed
14,36183,0,5555,1995-09-11 09:21:44.0,null,Placed
15,23274,0,4837,2014-05-02 08:56:24.0,null,Placed
16,60801,0,682,2000-02-17 08:27:05.0,null,Placed
17,18516,0,3720,2011-04-12 01:33:31.0,null,Placed
18,72242,0,454,1996-04-01 08:19:08.0,null,Placed
19,38068,0,6479,2001-12-19 08:22:04.0,null,Placed
20,77674,0,1096,1997-05-13 03:40:21.0,null,Placed
21,54969,0,8439,1995-11-28 04:49:49.0,null,Placed
22,34768,0,9861,1999-01-02 19:29:58.0,null,Placed
23,59734,0,6037,2000-06-29 21:57:13.0,null,Placed
24,28664,0,4508,2011-08-23 14:45:05.0,null,Placed
25,13902,0,8674,2003-01-03 00:08:19.0,null,Placed
26,39220,0,7237,2010-12-09 08:48:23.0,null,Placed
27,74660,0,3789,2004-09-13 18:09:18.0,null,Placed
28,20477,0,8054,2007-08-02 17:29:50.0,null,Placed
29,37202,0,1196,1999-12-12 03:04:18.0,null,Placed
30,23057,0,2086,2011-11-17 10:35:31.0,null,Placed
31,8615,0,8630,2011-08-25 05:10:26.0,null,Placed
32,87882,0,182,1996-12-11 08:16:59.0,null,Placed
33,41418,0,1035,1998-07-03 09:06:45.0,null,Placed
34,96355,0,9226,2008-12-25 04:40:06.0,null,Placed
35,36475,0,8726,1999-02-14 16:16:41.0,null,Placed
36,44968,0,4825,2012-10-25 09:28:06.0,null,Placed
37,76625,0,3871,2013-07-13 06:01:23.0,null,Placed
38,45802,0,973,1996-10-16 23:09:11.0,null,Placed
39,97731,0,6194,2003-06-17 20:39:50.0,null,Placed
40,55966,0,3309,2012-04-06 05:24:20.0,null,Placed
41,87706,0,3727,1999-06-08 21:18:52.0,null,Placed
42,78399,0,1213,2009-10-17 22:12:10.0,null,Placed
43,82242,0,8624,2014-11-12 16:24:29.0,null,Placed
44,74384,0,7631,1996-10-24 19:11:21.0,null,Placed
45,58571,0,9208,2005-03-06 08:21:49.0,null,Placed
46,74752,0,8027,1999-06-19 19:45:41.0,null,Placed
47,46005,0,2151,2013-07-03 16:10:08.0,null,Placed
48,21209,0,5017,2005-04-17 18:10:51.0,null,Placed
49,44390,0,4162,2013-06-29 04:48:34.0,null,Placed
50,12391,0,4812,2012-09-26 22:24:07.0,null,Placed
51,84013,0,160,2014-07-14 02:10:10.0,null,Placed
52,61094,0,6244,1998-06-01 14:27:18.0,null,Placed
53,74160,0,6269,1995-01-10 18:48:10.0,null,Placed
54,45809,0,9109,2013-11-10 14:23:13.0,null,Placed
55,52245,0,5431,1995-04-10 05:06:31.0,null,Placed
56,56877,0,945,1999-08-17 12:12:12.0,null,Placed
57,64635,0,7654,2013-02-10 16:42:42.0,null,Placed
58,5122,0,8439,1996-07-25 23:58:33.0,null,Placed
59,62035,0,1806,2002-09-30 11:33:02.0,null,Placed
60,33625,0,8321,2001-08-13 12:15:35.0,null,Placed
61,30854,0,5823,1999-11-11 07:51:06.0,null,Placed
62,87896,0,4213,1998-07-22 00:08:29.0,null,Placed
63,13498,0,3427,2004-10-08 10:25:19.0,null,Placed
